"Квартира";"Балкон 1 К*0,3";"Балкон 2К*0,3";"Ванна кімната";"Ванна кімната 1";"Вітальня 1";"Вітальня 2";"Гардеробна 1";"Кабінет";"Комора";"Комора 1";"Коридор 1";"Коридор 2";"Кухня";"Кухня-їдальня";"Лоджія 1 К*0,5";"Ліфт 1";"Ліфт 2";"Передпокій";"С/в 1";"С/в 2";"Спальня 1";"Спальня 2";"Спальня 3";"Сходова клітка 1_Для обслуговування";"Сходова клітка 2_Для обслуговування";"Сходова клітка 3_Для обслуговування";"Тамбур 1";"Тамбур 2";"Тераса 1";"Тераса 1 К*0,3";"Технічне приміщення 1";"Технічне приміщення 2";
"KV/1/1.4_1_2_8";;;;"4.62";;;;;;;;;;"15.89";;;;"8.74";;;"19.03";;;;;;;;;;;;
"KV/2/1.5_1_2_7";;;;"3.86";;;"1.07";;;;;;;"18.94";"2.02";;;"6.85";;;"11.89";;;;;;;;;;;;
"KV/3/1.6_1_2_6";;;;"3.82";;;"1.07";;;;;;;"18.94";"2.02";;;"6.67";;;"11.89";;;;;;;;;;;;
"KV/4/2.1_1_2_5";;;;"4.53";"17.22";;;;;;;;"11.55";;;;;"9.76";"2.97";;"19.03";;;;;;;;;;;;
"KV/5/2.3_1_1_4";;;;"3.88";"18.66";;;;;;;;"17.11";;"1.74";;;"8.78";"2.2";;"10.29";;;;;;;;;;;;
"KV/6/1.8_1_1_3";"2.4";;;;;;;;;;;;"14.07";;;;;"6.75";"3.92";;"24.68";;;;;;;;;;;;
"KV/7/1.9_1_1_2";;;;"3.85";"25.29";;;;;;;;"9.4";;"1.86";;;"5.61";;;;;;;;;;;;;;;
"KV/8/2.4_1_1_1";;;;"3.62";"20.76";;;;;;;;"9.28";;"1.79";;;"13.45";"4.21";;"17.28";;;;;;;;;;;;
"KV/9/2.12_1_2_8";"4.82";;"4.51";;"17.24";;;;;;;;"11.55";;;;;"9.76";"2.85";;"19.03";;;;;;;;;;;;
"KV/10/1.5_1_2_7";;;;"3.86";;;"1.07";;;;;;;"18.99";"2.02";;;"6.85";;;"11.93";;;;;;;;;;;;
"KV/11/1.6_1_2_6";;;;"3.82";;;"1.07";;;;;;;"19";"2.01";;;"6.66";;;"11.93";;;;;;;;;;;;
"KV/12/2.13_1_2_5";"4.82";;;"4.53";"17.22";;;;;;;;"11.55";;;;;"9.76";"2.98";;"19.03";;;;;;;;;;;;
"KV/13/2.14_1_1_4";;;;"3.88";"18.68";;;;;;;;"16.67";;"1.74";;;"8.78";"2.21";;"10.31";;;;;;;;;;;;
"KV/14/1.8_1_1_3";"2.4";;;;;;;;;;;;"14.07";;;;;"6.75";"3.92";;"24.68";;;;;;;;;;;;
"KV/15/1.9_1_1_2";;;;"3.85";"25.34";;;;;;;;"9.4";;"1.79";;;"5.61";;;;;;;;;;;;;;;
"KV/16/1.12_1_1_1";;;;"3.62";"25.76";;;;;;;;"8.92";;"1.79";;;"6.15";;;;;;;;;;;;;;;
"KV/17/2.15_1_1_1";"2.01";;;"4.19";"13.33";;"1.36";;;;;;"10.08";;;;;"6.75";"2.87";;"28.02";;;;;;;;;;;;
"KV/18/2.12_1_2_8";"4.82";;"4.51";;"17.24";;;;;;;;"11.55";;;;;"9.76";"2.85";;"19.03";;;;;;;;;;;;
"KV/19/1.5_1_2_7";;;;"3.86";;;"1.07";;;;;;;"18.99";"2.02";;;"6.85";;;"11.93";;;;;;;;;;;;
"KV/20/1.6_1_2_6";;;;"3.82";;;"1.07";;;;;;;"19";"2.02";;;"6.66";;;"11.93";;;;;;;;;;;;
"KV/21/2.13_1_2_5";"4.82";;;"4.53";"17.22";;;;;;;;"11.55";;;;;"9.76";"2.98";;"19.03";;;;;;;;;;;;
"KV/22/2.14_1_1_4";;;;"3.88";"18.68";;;;;;;;"16.67";;"1.74";;;"8.78";"2.21";;"10.31";;;;;;;;;;;;
"KV/23/1.8_1_1_3";"2.4";;;;;;;;;;;;"14.07";;;;;"6.75";"3.92";;"24.68";;;;;;;;;;;;
"KV/24/1.9_1_1_2";;;;"3.85";"25.35";;;;;;;;"9.4";;"1.79";;;"5.61";;;;;;;;;;;;;;;
"KV/25/1.12_1_1_1";;;;"3.62";"25.76";;;;;;;;"8.92";;"1.79";;;"6.15";;;;;;;;;;;;;;;
"KV/26/2.15_1_1_1";"2.01";;;"4.19";"13.33";;"1.36";;;;;;"10.08";;;;;"6.75";"2.87";;"28.02";;;;;;;;;;;;
"KV/27/2.12_1_2_8";"4.82";;"4.51";;"17.24";;;;;;;;"11.55";;;;;"9.76";"2.85";;"19.03";;;;;;;;;;;;
"KV/28/1.5_1_2_7";;;;"3.86";;;"1.07";;;;;;;"18.99";"2.02";;;"6.85";;;"11.93";;;;;;;;;;;;
"KV/29/1.6_1_2_6";;;;"3.82";;;"1.07";;;;;;;"19";"2.02";;;"6.66";;;"11.93";;;;;;;;;;;;
"KV/30/2.13_1_2_5";"4.82";;;"4.53";"17.22";;;;;;;;"11.55";;;;;"9.76";"2.98";;"19.03";;;;;;;;;;;;
"KV/31/2.14_1_1_4";;;;"3.88";"18.68";;;;;;;;"16.67";;"1.74";;;"8.78";"2.21";;"10.31";;;;;;;;;;;;
"KV/32/1.8_1_1_3";"2.4";;;;;;;;;;;;"14.07";;;;;"6.75";"3.92";;"24.68";;;;;;;;;;;;
"KV/33/1.9_1_1_2";;;;"3.85";"25.35";;;;;;;;"9.4";;"1.79";;;"5.61";;;;;;;;;;;;;;;
"KV/34/1.12_1_1_1";;;;"3.62";"25.76";;;;;;;;"8.92";;"1.79";;;"6.15";;;;;;;;;;;;;;;
"KV/35/2.15_1_1_1";"2.01";;;"4.19";"13.33";;"1.36";;;;;;"10.08";;;;;"6.75";"2.87";;"28.02";;;;;;;;;;;;
"KV/36/2.12_1_2_8";"4.82";;"4.51";;"17.24";;;;;;;;"11.55";;;;;"9.76";"2.85";;"19.03";;;;;;;;;;;;
"KV/37/1.5_1_2_7";;;;"3.86";;;"1.07";;;;;;;"18.99";"2.02";;;"6.85";;;"11.93";;;;;;;;;;;;
"KV/38/1.6_1_2_6";;;;"3.82";;;"1.07";;;;;;;"18.99";"2.02";;;"6.66";;;"11.93";;;;;;;;;;;;
"KV/39/2.13_1_2_5";"4.82";;;"4.53";"17.22";;;;;;;;"11.55";;;;;"9.76";"2.98";;"19.03";;;;;;;;;;;;
"KV/40/2.14_1_1_4";;;;"3.88";"18.68";;;;;;;;"16.67";;"1.74";;;"8.78";"2.21";;"10.31";;;;;;;;;;;;
"KV/41/1.8_1_1_3";"2.4";;;;;;;;;;;;"14.07";;;;;"6.75";"3.92";;"24.68";;;;;;;;;;;;
"KV/42/1.9_1_1_2";;;;"3.85";"25.35";;;;;;;;"9.4";;"1.79";;;"5.61";;;;;;;;;;;;;;;
"KV/43/1.12_1_1_1";;;;"3.62";"25.76";;;;;;;;"8.92";;"1.79";;;"6.15";;;;;;;;;;;;;;;
"KV/44/2.15_1_1_1";"2.01";;;"4.19";"13.33";;"1.36";;;;;;"10.08";;;;;"6.75";"2.87";;"28.02";;;;;;;;;;;;
"KV/45/3.14_1_2_8/7";"4.82";"2.59";;"4.51";"17.24";;;;"3.72";;;;"11.62";;;;;"10.27";"2.85";;"15.6";"13.18";;;;;;;;;;;
